"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"NTP","Nam Tai Property Inc.","8.17","$318.1M","n/a","Finance","Real Estate","https://old.nasdaq.com/symbol/ntp",
"NTEST","NASDAQ TEST STOCK","25.03","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ntest",
"NTEST.A","NASDAQ TEST STOCK","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ntest.a",
"NTEST.B","NASDAQ TEST STOCK","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ntest.b",
"NTEST.C","NASDAQ TEST STOCK","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ntest.c",
"NBHC","National Bank Holdings Corporation","28.08","$858.38M","2012","Finance","Major Banks","https://old.nasdaq.com/symbol/nbhc",
"NFG","National Fuel Gas Company","41.44","$3.77B","n/a","Public Utilities","Oil/Gas Transmission","https://old.nasdaq.com/symbol/nfg",
"NGG","National Grid Transco, PLC","57.38","$40.28B","n/a","Public Utilities","Natural Gas Distribution","https://old.nasdaq.com/symbol/ngg",
"NHI","National Health Investors, Inc.","59.15","$2.64B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/nhi",
"NOV","National Oilwell Varco, Inc.","12.74","$4.95B","n/a","Energy","Metal Fabrications","https://old.nasdaq.com/symbol/nov",
"NPK","National Presto Industries, Inc.","83.28","$584.56M","n/a","Capital Goods","Ordnance And Accessories","https://old.nasdaq.com/symbol/npk",
"NNN","National Retail Properties","34.4","$5.92B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/nnn",
"NNN^F","National Retail Properties","25.12","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/nnn^f",
"NRUC","National Rural Utilities Cooperative Finance Corporation","27.09","n/a","2019","Finance","Diversified Financial Services","https://old.nasdaq.com/symbol/nruc",
"SID","National Steel Company","2.19","$3.02B","n/a","Capital Goods","Steel/Iron Ore","https://old.nasdaq.com/symbol/sid",
"NSA","National Storage Affiliates Trust","29.21","$1.99B","2015","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/nsa",
"NSA^A","National Storage Affiliates Trust","26.14","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/nsa^a",
"NTCO","Natura &Co Holding S.A.","16.23","$10.15B","2020","n/a","n/a","https://old.nasdaq.com/symbol/ntco",
"NGS","Natural Gas Services Group, Inc.","6.45","$86.83M","2002","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/ngs",
"NGVC","Natural Grocers by Vitamin Cottage, Inc.","15.22","$342.62M","2012","Consumer Services","Food Chains","https://old.nasdaq.com/symbol/ngvc",
"NRP","Natural Resource Partners LP","10.05","$123.23M","2002","Energy","Coal Mining","https://old.nasdaq.com/symbol/nrp",
"NTZ","Natuzzi, S.p.A.","1.77","$19.42M","1993","Consumer Durables","Home Furnishings","https://old.nasdaq.com/symbol/ntz",
"NWG","NatWest Group plc","2.92","$17.7B","n/a","n/a","n/a","https://old.nasdaq.com/symbol/nwg",
"NLS","Nautilus Group, Inc. (The)","10.23","$305.02M","n/a","Consumer Non-Durables","Recreational Products/Toys","https://old.nasdaq.com/symbol/nls",
"NVGS","Navigator Holdings Ltd.","7.31","$408.68M","2013","Transportation","Marine Transportation","https://old.nasdaq.com/symbol/nvgs",
"NNA","Navios Maritime Acquisition Corporation","4.34","$69.17M","n/a","Transportation","Marine Transportation","https://old.nasdaq.com/symbol/nna",
"NM","Navios Maritime Holdings Inc.","1.92","$25.86M","n/a","Transportation","Marine Transportation","https://old.nasdaq.com/symbol/nm",
"NM^G","Navios Maritime Holdings Inc.","2.5","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/nm^g",
"NM^H","Navios Maritime Holdings Inc.","2.57","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/nm^h",
"NMM","Navios Maritime Partners LP","8.79","$96.58M","2007","Transportation","Marine Transportation","https://old.nasdaq.com/symbol/nmm",
"NAV","Navistar International Corporation","30.8","$3.06B","n/a","Capital Goods","Auto Manufacturing","https://old.nasdaq.com/symbol/nav",
"NAV^D","Navistar International Corporation","20","n/a","n/a","Capital Goods","Auto Manufacturing","https://old.nasdaq.com/symbol/nav^d",
"NCR","NCR Corporation","17.88","$2.29B","n/a","Miscellaneous","Office Equipment/Supplies/Services","https://old.nasdaq.com/symbol/ncr",
"NP","Neenah, Inc.","47.85","$803.47M","n/a","Basic Industries","Paper","https://old.nasdaq.com/symbol/np",
